example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version
brick2-0001,finance,How long does a cheque clearance take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0002,finance,Is it possible to buy treasury bills with a passport without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0003,finance,Is it possible to open an account with a passport without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0004,finance,How do I reverse a wrong M-Pesa transaction sent to an unknown number?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0005,finance,How long does a bank-to-wallet payment take to reflect in my current account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0006,finance,Explain the charges for standing orders on an agency bank.,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0007,finance,Should I use a chama or a Sacco for my savings group?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0008,finance,What are the current interest rates for SACCO share capital loans?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0009,finance,What fees apply when I transferring a dollar amount?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0010,finance,What fees apply when I transferring loan repayments?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0011,finance,How do I pay for goods with a SACCO account using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0012,finance,How do I withdraw cash from a mobile wallet using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0013,finance,What is the penalty for early loan repayment at a Kenyan bank?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0014,finance,Is it possible to pay a utility bill as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0015,finance,"What fees apply when I withdrawing KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0016,finance,What are the charges for sending money from Kenya to Tanzania?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0017,finance,What fees apply when I withdrawing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0018,finance,How is forex spread charged when converting KES to USD at a bureau?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0019,finance,How do I pay for goods with a mobile wallet using an agent till?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0020,finance,How do I save towards a SACCO account using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0021,finance,How do I send money to a SACCO account using a bank app?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0022,finance,Explain the charges for mobile banking on the stock exchange.,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0023,finance,Is it possible to get a loan as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0024,finance,What fees apply when I withdrawing a dollar amount?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0025,finance,How do I track my daily budget using mobile money transaction history?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0026,finance,How do I save towards a mobile wallet using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0027,finance,What fees apply when I overdrawing loan repayments?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0028,finance,How long does a bank-to-wallet payment take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0029,finance,What fees apply when I overdrawing a dollar amount?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0030,finance,Explain the charges for standing orders on a fintech app.,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0031,finance,Is it possible to pay a utility bill as a minor without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0032,finance,Explain the charges for merchant payments on a fintech app.,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0033,finance,How do I pay for goods with a bank card using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0034,finance,How do I send money to a bank card using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0035,finance,Explain the difference between M-Shwari and Fuliza loan charges.,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0036,finance,Is there a transaction limit for sending money to a mobile wallet in Uganda?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0037,finance,How do I pay for goods with a mobile wallet using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0038,finance,How do I withdraw cash from a bank card using a bank app?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0039,finance,How do I save towards an escrow account using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0040,finance,"What fees apply when I overdrawing KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0041,finance,How long does a cheque clearance take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0042,finance,Explain the charges for international transfers on M-Pesa.,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0043,finance,Is it possible to open an account from abroad without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0044,finance,How do I pay for goods with a mobile wallet using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0045,finance,How do I open a bank account for my small business in Kenya?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0046,finance,How do I file VAT returns for my online shop?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0047,finance,What fees apply when I depositing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0048,finance,How do I read my bank statement to find the total monthly bank charges?,False,,train,hand_written,washington,v2-moat-brick-2
brick2-0049,finance,How do I pay for goods with a bank card using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-2
brick2-0050,finance,Should I take a fixed deposit or a money market fund for six months?,False,,train,hand_written,washington,v2-moat-brick-2
