example_id,domain_label,text,is_boundary_example,cross_domain_hint,split,source,contributor,added_for_version
brick2-0001,finance,How long does a dividend payout take to reflect in my savings account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0002,finance,What fees apply when I depositing a salary payment?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0003,finance,What documents do I need to verify a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0004,finance,What documents do I need to close an escrow account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0005,finance,Explain the charges for standing orders on an agency bank.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0006,finance,"What fees apply when I withdrawing KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0007,finance,What documents do I need to open a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0008,finance,Is it possible to open an account with a passport without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0009,finance,How long does a dividend payout take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0010,finance,What documents do I need to verify an escrow account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0011,finance,How do I invest in a bank card using Airtel Money?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0012,finance,How do I withdraw cash from a treasury bond using a bank app?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0013,finance,What fees apply when I depositing loan repayments?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0014,finance,What documents do I need to register a HELB account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0015,finance,How long does a bank-to-wallet payment take to reflect in my M-Pesa wallet?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0016,finance,What documents do I need to register a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0017,finance,What fees apply when I transferring insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0018,finance,Explain the charges for merchant payments on M-Pesa.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0019,finance,How long does an RTGS transfer take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0020,finance,How do I withdraw cash from a SACCO account using a forex bureau?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0021,finance,How do I save towards a bank card using a forex bureau?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0022,finance,"What fees apply when I depositing KES 5,000?",False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0023,finance,Is it possible to buy treasury bills as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0024,finance,How do I track my daily budget using mobile money transaction history?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0025,finance,How do I send money to a treasury bond using a forex bureau?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0026,finance,Explain the charges for international transfers on an agency bank.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0027,finance,Is it possible to pay a utility bill without collateral without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0028,finance,Explain the charges for standing orders on the stock exchange.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0029,finance,How long does a cheque clearance take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0030,finance,How long does a PesaLink transfer take to reflect in my cooperative account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0031,finance,Should I use a chama or a Sacco for my savings group?,False,,train,hand_written,washington,v2-moat-brick-3
brick2-0032,finance,How do I withdraw cash from an insurance policy using M-Pesa?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0033,finance,Is it possible to register for eCitizen payments as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0034,finance,How long does a standing order take to reflect in my savings account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0035,finance,Is it possible to get a loan without collateral without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0036,finance,Is it possible to open an account without collateral without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0037,finance,Explain the charges for salary advances on an agency bank.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0038,finance,Is it possible to get a loan as a foreigner without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0039,finance,How long does an RTGS transfer take to reflect in my savings account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0040,finance,How long does a bank-to-wallet payment take to reflect in my fixed deposit?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0041,finance,How do I borrow against an insurance policy using a forex bureau?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0042,finance,Is it possible to start a chama without collateral without a bank account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0043,finance,What documents do I need to open a mobile money line?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0044,finance,How do I pay for goods with an insurance policy using a bank app?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0045,finance,What fees apply when I depositing insurance premiums?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0046,finance,Explain the charges for overdraft facilities on a fintech app.,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0047,finance,How do I save towards a treasury bond using a bank app?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0048,finance,How long does a dividend payout take to reflect in my current account?,False,,train,systematic_generation,washington,v2-moat-brick-3
brick2-0049,finance,What fees apply when I depositing a dollar amount?,False,,train,systematic_generation,washington,v2-moat-brick-3
